spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
1PnOzUB8CP0SVwVmMkqY3k,12/10/2024 2:10,android,34268,Bistro Fada,Stephane Wrembel,Midnight in Paris (Music from the Motion Picture),fwdbtn,fwdbtn,TRUE,TRUE
4IvZLDtwBHmBmwgDIUbuwa,12/10/2024 2:10,android,2312,Here Comes Your Man,Pixies,Doolittle,fwdbtn,fwdbtn,TRUE,TRUE
7psfcbjfnXwYIezHstNa1a,12/10/2024 2:11,android,42565,When the Levee Breaks - Remaster,Led Zeppelin,Led Zeppelin IV,fwdbtn,fwdbtn,TRUE,TRUE
5xo1Gj4WTssjQgQ0w03cf2,12/10/2024 2:11,android,2034,Jackie And Wilson,Hozier,Hozier,fwdbtn,fwdbtn,TRUE,TRUE
49EJBvSBsEZqtJDovHgwF1,12/10/2024 2:16,android,130215,The Getting By - Abridged,The Killers,Pressure Machine,fwdbtn,endplay,TRUE,TRUE
49EJBvSBsEZqtJDovHgwF1,12/10/2024 4:09,android,44783,The Getting By - Abridged,The Killers,Pressure Machine,clickrow,logout,TRUE,FALSE
49EJBvSBsEZqtJDovHgwF1,12/13/2024 1:16,android,56176,The Getting By - Abridged,The Killers,Pressure Machine,appload,trackdone,TRUE,FALSE
4UKe38tm5NkRpuFCxwewEe,12/13/2024 1:23,android,184546,Me haces bien,Jorge Drexler,Sea,trackdone,trackdone,TRUE,FALSE
4qWQPFK9AtqqxJqGicATHv,12/13/2024 16:10,android,145478,If Everyone Cared,Nickelback,All the Right Reasons,trackdone,unexpected-exit-while-paused,TRUE,FALSE
4bw8mcDUSRWfQo63ZTYRnU,12/14/2024 21:53,mac,142334,Segun Quien,Maluma,Don Juan,remote,trackdone,FALSE,FALSE
0S1yRPEdH2PpRrb0GRdVDH,12/14/2024 21:57,mac,217202,Every Night,Imagine Dragons,Night Visions,trackdone,trackdone,TRUE,FALSE
45WX2cfbL8bCIqv3rOq1G3,12/14/2024 21:58,mac,108831,I'll Follow The Sun - Remastered 2009,The Beatles,Beatles For Sale,trackdone,trackdone,TRUE,FALSE
49C6EGQhCUSgyADHYvJ7ez,12/14/2024 22:01,mac,159308,Living Loving Maid (She's Just a Woman) - Remaster,Led Zeppelin,Led Zeppelin II,trackdone,trackdone,TRUE,FALSE
